,tweet,date,Same day stock closing price,Next day stock open price,Daily change
85,"['blkmdl3', 'track', 'software', 'update', 'probably', 'week', 'away', 'i', 'know', 'i', 'know', 'haha', 'also', 'waypoints', 'amp', 'thing', 'aarons5', 'tesla', 'bandwidth', 'good', 'third', 'party', 'mod', 'shop', 'next', 'modify', 'plaid', 'add', 'aero', 'surface', 'carbon', 'brake', 'amp', 'track', 'tire', 'thing', 'do', 'without', 'tesla', 'loop', 'tesla', 'model', 's', 'plaid', 'set', 'official', 'world', 'speed', 'record', 'production', 'electric', 'car', 'nurburgring', 'completely', 'unmodified', 'directly', 'factory', 'http', 'co', 'aaiftfw5ht', 'burkov', 'maybe', '99', 'dot', 'product']",2021-09-09,754.86,759.6,0.63%
86,"['thesheetztweetz', 'nasakennedy', 'spacex', 'it', 'hard', 'overstate', 'criticality', 'reusable', 'rocket', 'no', 'less', 'important', 'reusable', 'aircraft', 'car', 'bicycle', 'essential', 'humanity', 'become', 'multiplanet', 'specie', 'amp', 'backup', 'biosphere']",2021-09-14,744.49,745.0,0.07%
87,"['pcgamer', 'rip', 'sir', 'sinclair', 'i', 'love', 'computer', 'just', 'speak', 'inspiration4x', 'crew', 'all', 'well', 'lexfridman', 'spacex', 'mission', 'like', 'inspiration4', 'help', 'advance', 'spaceflight', 'enable', 'ultimately', 'anyone', 'go', 'orbit', 'amp', 'beyond', 'jack', 'that', 'safe', 'word', 'teslaownerssv', 'maneuverability', 'important', 'safety', 'richardbranson', 'spacex', 'inspiration4x', 'thanks', 'richard', 'jeffbezos', 'spacex', 'thank']",2021-09-16,756.99,757.15,0.02%
88,"['ray4tesla', 'tesla', 'yet', 'decide', 'fourth', 'gigafactory', 'location']",2021-09-20,730.17,734.79,0.63%
89,"['electricraph', '28delayslater', 'kounistou', 'good', 'point', 'could', 'enable', 'visualization', 'control', 'will', 'enable', 'option', 'hopefully', 'next', 'month', '28delayslater', 'kounistou', '10', '1', 'solve', 'last', 'cone', 'issue']",2021-09-21,739.38,743.53,0.56%
90,"['thesheetztweetz', 'so', 'pointy', 'http', 'co', 'xmrqkpmy0t', 'billym2k', 'super', 'important', 'doge', 'fee', 'drop', 'make', 'thing', 'like', 'buy', 'movie', 'tix', 'viable', 'evafoxu', 'chesternobs', 'truth', 'tesla', 'giga', 'berlin', 'help', 'lot', 'sueorigin', 'sciguyspace', 'that', 'would', 'break', 'nasa', 'budget', 'ppathole', 'simongerman600', 'waitbutwhy', 'seppalavilleen', 'ai', 'use', '1', 'last', 'year', 'https', 'co', 'ksuahebllg', 'simongerman600', 'waitbutwhy', 'seppalavilleen', 'birth', 'rate', 'collapse', 'big', 'threat', 'human', 'civilization', 'wapodavenport', 'we', 'always', 'flight', 'readiness', 'review', 'this', 'argument', 'make', 'sense', 'evafoxu', 'chesternobs', 'truth', 'tesla', 'logistics', 'underrated', 'evafoxu', 'chesternobs', 'truth', 'tesla', 'exactly', 'giga', 'shanghai', 'make', 'car', 'export', 'first', 'half', 'quarter', 'car', 'far', 'away', 'part', 'china', 'car', 'nearby', 'part', 'china', 'net', 'result', 'crazy', 'wave', 'delivery', 'end', 'quarter', 'it', 'tough', 'team', 'hop', 'reduce', 'wave', 'q4', 'amp', 'q1']",2021-09-22,751.94,755.0,0.41%
91,"['erdayastronaut', 'labpadre', 'if', 'tile', 'super', 'thin', 'get', 'hot', 'plasma', 'waterfalling', 'edge', 'tile', 'create', 'hotspot', 'that', 'say', 'i', 'entirely', 'convince', 'do', 'several', 'overlap', 'scale', 'metal', 'sheet', 'insulator', 'scale', 'armor', 'amp', 'primary', 'structure', 'labpadre', 'head', 'tank', 'vent', 'knock', 'tile', 'scott', 'peak', 'cybertruck', 'option', 'package', 'scott', 'peak', 'of', 'course', 'teslarati', 'klenderjoey', 'isi']",2021-09-27,791.36,787.2,-0.53%
92,"['newfolderf', 'dogeofficialceo', 'billym2k', 'billym2k', 'hamster', 'mad', 'skillz', 'slashdot', 'this', 'serious', 'concern']",2021-09-28,777.56,779.8,0.29%
93,"['pcgamer', 'amd', 'great', 'work', 'gfilche', 'freshjiva', 'no', 'guarantee', 'i', 'think', 'this', 'big', 'part', 'i', 'mean', 'tesla', 'long', 'term', 'competitive', 'advantage', 'manufacture', 'technology', 'sciguyspace', 'verge', 'thesheetztweetz', 'spacex', 'sue', 'allow', 'compete', 'bo', 'sue', 'stop', 'competition', 'spacedotcom', 'maxwell', 'incredible', 'mortenlund89', 'really']",2021-09-29,781.31,781.0,-0.04%
94,"['astro', 'kimbrough', 'spacex', 'hello', 'space', 'station', 'great', 'pic', 'that', 'wave']",2021-09-30,775.48,778.4,0.38%
95,"['teslarati', 'klenderjoey', 'this', 'extremely', 'difficult', 'huge', 'prop', 'tesla', 'engineering', 'supply', 'chain', 'production', 'amp', 'key', 'supplier']",2021-10-04,781.53,784.8,0.42%
96,"['f', 'nela1', 'teslarati', 'cleantechnica', 'tesla', 'always', 'pay', 'debt']",2021-10-05,780.59,776.2,-0.56%
97,"['peterdiamandis', 'i', 'die', 'supersonic', 'electric', 'votl', 'jet', 'add', 'work', 'make']",2021-10-07,793.61,796.21,0.33%
98,"['teslarati', 'writer', '01001101', 'all', 'stairwell', 'currently', 'show', 'wood', 'clad', 'actually', 'graffiti', 'nasaspaceflight', 'starship', 'hard', 'problem', 'lexfridman', 'not', 'mention', 'warm', 'latency']",2021-10-11,791.94,800.93,1.14%
99,"['univercurious', 'techinsider', 'laser', 'jefftutorials', 'manic', 'marge', 'tesla', 'maybe', 'next', 'week', 'we', 'like', 'get', '10', '3', 'expand', 'beta', 'manic', 'marge', 'tesla', 'always', 'teslaownerssv', 'jonerlichman', 'coffeetabletsla', 'alex', 'avoigt', 'agree', 'try', 'get', 'approval', 'need', 'offer', 'insurance', 'extremely', 'difficult', 'come', 'teslaownerssv', 'production', 'supply', 'chain', 'amp', 'logistics', 'hard']",2021-10-12,805.72,810.47,0.59%
100,"['astrodebora', 'archillect', 'pretty', 'much', 'archillect', 'fan', 'art', 'best', 'ppathole', 'lasik', 'improve', 'many', 'people', 'life', 'nichegamer', 'great', 'game', 'teslarati', 'residentsponge', 'haha']",2021-10-14,818.32,823.74,0.66%
101,"['http', 'co', 'g5ulisewxs']",2021-10-18,870.11,877.53,0.85%
102,"['wr4nygov', 'potus', 'odd', 'adamhoov', 'they', 'require', 'law', 'design', 'easy', 'remove', 'owner', 'spacexmr', 'engineer', 'fee']",2021-10-19,864.27,865.35,0.12%
103,"['ppathole', 'thesheetztweetz', 'well', 'optimized', 'starship', 'would', '250', 'ton', 'orbit', 'expendable', 'amp', '150', 'ton', 'fully', 'reusable', 'jhong', 'sama', 'nod', 'wintonark', 'the', 'day', 'fsd', 'go', 'wide', 'release', 'one', 'big', 'asset', 'value', 'increase', 'history', 'thesheetztweetz', 'full', 'amp', 'rapid', 'reusability', 'holy', 'grail', 'orbital', 'rocketry', 'justindross', 'most', 'big', 'company', 'tech', 'turned', 'place', 'talent', 'go', 'die']",2021-10-20,865.8,856.0,-1.13%
104,"['teslany', 'boringcompany', 'tesla', 'maddiewhitetv', 'this', 'cool', 'boringcompany', 'beat', 'teslarati', 'residentsponge', 'we']",2021-10-21,894.0,895.5,0.17%
105,"['teslarati', 'klenderjoey', 'i', 'like', 'express', 'appreciation', 'tesla', 'autopilot', 'engineering', 'amp', 'qa', 'work', 'round', 'clock', 'weekend', 'resolve', 'problem', 'teslarati', 'klenderjoey', 'sorry', 'tesla', 'beta', 'user', 'trouble', 'issue', 'turn', 'power', 'save', 'mode', 'interact', 'fsd', 'our', 'internal', 'qa', 'fleet', 'see', 'car', 'constantly', 'use', 'rarely', 'enter', 'power', 'save', 'mode', 'internal', 'qa', 'obv', 'test', 'case', 'go', 'forward', 'gerberkawasaki', 'strange', 'move', 'valuation', 'tesla', 'much', 'production', 'ramp', 'problem', 'demand', 'problem', 'wild', 't1mes', 'coach23life', 'sawyermerritt', 'indeed', 'intend', 'useful', 'advice', 'base', 'extremely', 'painful', 'experience', 'attack', 'way', 'sawyermerritt', 'prototypes', 'trivial', 'compare', 'scale', 'production', 'amp', 'supply', 'chain', 'if', 'solve', 'achieve', 'positive', 'gross', 'margin', 'next', 'nightmare', 'start', 'second', 'new', 'vehicle', 'line', 'first', 'work', 'divide', 'resource', 'amp', 'amplify', 'probability', 'failure', 'kimpaquette', 'hertz', 'tombrady', 'that', 'feature', 'come']",2021-10-25,1024.86,1024.69,-0.02%
106,"['thebabylonbee', 'i', 'feel', 'like', 'happen', 'tesla', 'time', 'morningbrew', 'i', 'kinda', 'like', 'avocado', 'toast', 'amp', 'pro', 'level', 'coffee', 'tbh', 'starbase', 'cuisine', 'amaze', 'job']",2021-10-26,1018.43,1039.66,2.08%
107,"['wapodavenport', 'u', 'federal', 'debt', 'gdp', '56', '2000', '126', 'amp', 'climb', 'fast', 'dogeofficialceo', 'wapodavenport', 'wapodavenport', 'u', 'national', 'debt', '28', '900', 'billion', '229k', 'per', 'taxpayer', 'even', 'tax', 'billionaire', '100', 'would', 'make', 'small', 'dent', 'number', 'obviously', 'rest', 'must', 'come', 'general', 'public', 'this', 'basic', 'math', 'spending', 'real', 'problem', 'http', 'co', '1ewwyqdvst', 'tesla', 'raj', 'tesla', 'raj', 'you', 'also', 'talk', 'car', 'speaker', 'great', 'practical', 'joke', 'jgrano305', 'wholemarsblog', 'tentative', 'plan', '98', 'amp', 'start', 'upload', 'friday', 'afternoon', 'next', 'week', 'if', 'see', 'concern', 'uploads', 'pause', 'investigate', 'might', 'take', 'day', 'everyone', '98', 'safety', 'get', 'beta', '10', '4', '10', '4', 'improves', 'leave', 'turn', 'across', 'fast', 'traffic', 'amp', 'stop', 'gate', 'wholemarsblog', 'fsd', 'ai', 'team', 'great', 'work', 'will', 'get', 'superhuman', 'good', 'upcoming', 'release', 'note', 'slow', 'upload', 'rate', 'release', 'go', 'forward', 'first', 'qa', 'fleet', 'employee', 'car', 'day', 'slowly', 'release', '1000', 'car', 'hr', 'external', 'beta', 'friday', 'aft', 'pinkocat1', 'wr4nygov', 'rbreich', 'potus', 'jayinshanghai', 'that', 'math', 'incorrect', 'still', 'lot', 'device', 'per', 'second', 'i', 'guess', 'tesla', 'reach', '20m', 'car', 'year', 'would', 'one', 'every', '1', '5', 'second', 'wapodavenport', 'accord', 'estimate', 'tax', 'cover', '10', '3', '5', 'trillion', 'spending', 'bill', 'where', '90', 'come', 'the', 'answer', 'billym2k', 'if', 'i', 'send', '2', 'doge', 'promise', 'send', '1', 'doge']",2021-10-27,1037.86,1068.31,2.93%
108,"['cnunezimages', 'spacex', 'spaceintellige3', 'gateway', 'mar', 'billym2k', 'teslaownerssv', 'teslarati', 'residentsponge', 'tesla', 'always', 'pay', 'debt', 'rainmaker1973', 'cover', 'story', 'godzilla', 'obv', 'thebabylonbee', 'tax', 'expert', 'say', 'sure', 'claim', 'unrealized', 'donation', 'legal', 'admit', 'confusing', 'government', 'print', 'fake', 'money', 'tax', 'nonexistent', 'profit', 'nothing', 'real', 'anymore']",2021-10-28,1077.04,1081.86,0.45%
109,"['hardcorehistory', 'almost', 'finish', 'j', 'nger', 'storm', 'steel', 'intense', 'great', 'book', 'shiraeis', 'billym2k', 'it', 'simulations', 'way', 'eventually', '1', 'bit', 'billym2k', 'everything', 'internet', 'true', 'externalize', 'responsibility', 'if', 'able', 'buy', 'crypto', 'ppathole', 'spacex', 'absolutely', 'flcnhvy', 'adamhoov', 'forbes', 'he', 'talk', 'like', 'npc', 'limited', 'dialogue', 'tree', 'dogeofficialceo', 'forbes', 'adamhoov', 'forbes', 'srsly', 'forbes', 'he', 'look', 'good', 'even', '200', 'year', 'old', 'renatakonkoly', 'forbes', 'both', 'factory', 'fail', 'amp', 'shut', 'long', 'ago', 'strange', 'thing', 'brag', 'forbes', 'literally', 'tell', 'real', 'deep', 'fake']",2021-11-01,1208.59,1159.36,-4.07%
110,"['teslaownerssv', 'billym2k', 'how', 'lil', 'doge', 'floki', 'he', 'would', 'make', 'great', 'ceo', 'his', 'judgment', 'tesmanian', 'com', 'what', 'right', 'tesmanian', 'com', 'sigh', 'billym2k', 'me']",2021-11-02,1172.0,1177.33,0.45%
111,"['gerberkawasaki', 'not', 'yet', 'they', 'post', 'transaction', 'ledger', 'must', 'somewhere', 'and', 'mar', 'https', 'co', 'gelbxjalsw', 'robxlynx', 'haha', 'true', 'billym2k', 'so', 'tunnels']",2021-11-03,1213.86,1234.41,1.69%
112,"['realskywatcher', 'thesheetztweetz', 'drelidavid', 'seem', 'way', 'publish', 'transaction', 'ledger', 'would', 'clarify', 'matter', 'jon4lakers', 'tesla', 'we', 'post', 'finer', 'grain', 'detail', 'software', 'improvement', 'go', 'forward', 'koolio', 'jon4lakers', 'tesla', 'exactly', 'improve', 'memory', 'cause', 'prediction', 'converge', 'amp', 'reduce', 'jitter', 'billym2k', 'hype', 'hype', 'teslarati', 'writer', '01001101', 'in', 'future', 'tesla', 'use', 'automatically', 'sync', 'preference']",2021-11-04,1229.91,1228.0,-0.16%
113,"['skorusark', 'really', 'come', 'iron', 'cathode', 'medium', 'range', 'vehicle', 'amp', 'stationary', 'storage', 'v', 'nickel', 'cathode', 'long', 'range', 'vehicle', 'mishaboar', 'important', 'erdayastronaut', 'thesheetztweetz', 'brycespacetech', 'spacex', 'arianespace', 'arianegroup', 'roscosmos', 'northropgrumman', 'ulalaunch', 'torybruno', 'isro', 'rocketlab', 'the', 'starship', 'fleet', 'design', 'achieve', '1000', 'time', 'payload', 'orbit', 'rocket', 'earth', 'combine', 'almost', 'one', 'understands', 'erdayastronaut', 'thesheetztweetz', 'brycespacetech', 'spacex', 'arianespace', 'arianegroup', 'roscosmos', 'northropgrumman', 'ulalaunch', 'torybruno', 'isro', 'rocketlab', 'true', 'thesheetztweetz', 'brycespacetech', 'spacex', 'arianespace', 'arianegroup', 'roscosmos', 'northropgrumman', 'ulalaunch', 'torybruno', 'isro', 'rocketlab', 'actually', '41', 'ton', 'spacex', 'q3', 'amp', 'aim', '80', 'ton', 'q4', 'that', 'say', 'china', 'launch', 'mass', 'orbit', 'extremely', 'impressive', 'brianferoldi', 'joerogan', 'https', 'co', '6hwai2yiy0']",2021-11-08,1162.94,1173.6,0.92%
114,"['sawyermerritt', 'new', 'uaw', 'slogan', 'fight', 'right', 'steal', 'money', 'worker', 'rainmaker1973', 'rainmaker1973', 'interestingly', 'however', 'average', 'power', 'density', 'sun', 'comparable', 'compost', 'heap', 'human', 'power', 'dense', 'sun', 'big', 'sawyermerritt', 'there', 'many', 'good', 'cause', 'main', 'reason', 'accumulate', 'capital', 'the', 'resource', 'i', 'consume', 'personally', 'low', 'tenjin37151', 'space', 'station', 'spacex', 'commercial', 'crew', 'nasa', 'esa', 'jaxa', 'en', 'astro', 'kimbrough', 'astro', 'megan', 'thom', 'astro', 'aki', 'hoshide', 'a', 'describe', 'the', 'moon', 'harsh', 'mistress', 'great', 'book', 'linear', 'accelerator', 'would', 'great', 'moon', 'earth', 'gravity', 'high', 'amp', 'atmosphere', 'dense', 'accelerator', 'good', 'solution', 'v', 'reusable', 'booster', 'imo', 'space', 'station', 'spacex', 'commercial', 'crew', 'nasa', 'esa', 'jaxa', 'en', 'astro', 'kimbrough', 'astro', 'megan', 'thom', 'astro', 'aki', 'hoshide', 'still', 'blow', 'mind', 'real']",2021-11-10,1067.95,1102.77,3.26%
115,"['samtwits', 'i', 'hope', 'able', 'achieve', 'high', 'production', 'amp', 'breakeven', 'cash', 'flow', 'that', 'true', 'test', 'there', 'hundred', 'automotive', 'startup', 'electric', 'amp', 'combustion', 'tesla', 'american', 'carmaker', 'reach', 'high', 'volume', 'production', 'amp', 'positive', 'cash', 'flow', 'past', '100', 'year']",2021-11-11,1063.51,1047.5,-1.51%
116,"['business', 'burry', 'broken', 'clock', 'wapodavenport', 'the', 'hard', 'work', 'faa', 'u', 'fish', 'amp', 'wildlife', 'texas', 'park', 'amp', 'wildlife', 'much', 'appreciate', 'well', 'strong', 'local', 'support', 'cameron', 'county', 'brownsville', 'south', 'padre', 'billym2k', 'normal', 'money', 'actually', 'bunch', 'ancient', 'mainframe', 'run', 'cobol', 'batch', 'mode', 'govt', 'edit', 'money', 'database', 'whenever', 'want', 'paul49787221', 'mooroobee', 'itsallrisky', 'sensanders', 'exactly', 'ppathole', 'teslaownerssv', 'kristennetten', 'itsallrisky', 'sensanders', 'yes', 'major', 'source', 'dilution', 'all', 'employee', 'receive', 'stock', 'year', 'tesla', '100', '000', 'employee', 'worldwide', 'myalteredego', 'kedarus', 'collegechef1', 'joeytparker', 'sensanders', 'that', 'loophole', 'seem', 'questionable', 'teslaownerssv', 'kristennetten', 'itsallrisky', 'sensanders', 'i', 'majority', 'control', 'first', '5', 'year', 'tesla', 'car', 'company', 'need', 'lots', 'capital', 'i', 'around', '20', 'despite', 'put', 'much', 'i', 'could', 'along', 'way', 'itsallrisky', 'sensanders', 'agree', 'tax', 'best', 'apply', 'especially', 'extravagant', 'consumption', 'whereas', 'capital', 'allocation', 'tax', 'reduce', 'good', 'amp', 'service', 'output', 'actually', 'bad', 'people', 'probable', 'capital', 'allocation', 'skill', 'heirs', 'low', 'original', 'creator', 'i', 'favor', 'estate', 'tax', 'dogeofficialceo', 'daelmor', 'sensanders', 'regretamine', 'like', '100', 'tax', 'regret', 'daelmor', 'sensanders', 'his', 'stance', 'ketamine', 'bold', 'https', 'co', 'th6arpkmv7', 'daelmor', 'sensanders', 'how', 'know', 'kidnap', 'alien', 'sensanders', 'ok', 'much', 'think', 'fair', 'do', '53', 'seem', 'reasonable']",2021-11-15,1013.39,1003.31,-0.99%
117,"['billym2k', 'heydave7', 'indeed', 'over', 'time', 'tesla', 'generate', 'hundred', 'billion', 'government', 'term', 'employee', 'income', 'tax', 'product', 'sale', 'tax', 'property', 'tax', 'addition', 'profit', 'taxation', 'heydave7', 'accurate', 'thread']",2021-11-16,1054.73,1063.51,0.83%
118,"['flcnhvy', 'accept', 'bad', 'case', 'outcome', 'amp', 'assign', 'probability', 'usually', 'low', 'now', 'think', 'good', 'thing', 'life', 'amp', 'assign', 'probability', 'many', 'certain', 'bring', 'anxiety', 'fear', 'conscious', 'mind', 'sap', 'limbic', 'emotional', 'strength', 'cheery', 'fatalism', 'effective']",2021-11-17,1089.01,1106.55,1.61%
119,"['emtsla', 'nasaspaceflight', 'yes', 'nasaspaceflight', 'true', 'renatakonkoly', 'wr4nygov', 'it', 'great', 'change', 'tune', 'day', 'truth', 'gm', 'try', 'damn', 'hard', 'kill', 'electric', 'car', 'if', 'competitive', 'pressure', 'tesla', 'would', 'nothing', 'https', 'co', 'baa6mxvbrz', 'renatakonkoly', 'wr4nygov', 'exactly', 'kimpaquette', 'mayemusk', 'indeed', 'mayemusk', 'sigh', 'http', 'co', 'jvpi9zvzsc', 'kimbleredshaw1', 'propublica', 'bottom', 'leave', 'spacexmr', 'thesimonevans', 'grover', 'gardner', 'rock', 'mterrace', 'investor421', 'wholemarsblog', '28delayslater', 'be', 'real', 'it', 'hard', 'find', 'good', 'source', 'relatively', 'objective', 'news', 'day', 'any', 'suggestion']",2021-11-18,1096.38,1098.87,0.23%
120,"['wholemarsblog', 'true', 'ashleydcan', 'and', 'i', 'talk', 'manager', 'rainmaker1973', 'the', 'sheer', 'physicality', 'change', 'brain', 'sleep', 'serious', 'neurodegenerative', 'disease', 'much', 'high', 'people', 'realize', 'billhuang688', 'teslaownerssv', 'boringcompany', 'we', 'need', 'fallout', 'theme', 'party', 'aim', 'international', 'travel', 'restriction', 'lift', 'mickakers', 'teslaownerssv', 'boringcompany', 'meant', 'say', 'county', 'sigh', 'airport', 'part', 'require', 'additional', 'federal', 'approval', 'cleantechnica', 'transform', 'america', 'teslaownerssv', 'boringcompany', 'it', 'either', 'traffic', 'forever', 'tunnel', 'try', 'first', 'operational', 'tunnel', 'vega', 'convention', 'center', 'the', 'city', 'approve', 'full', 'tunnel', 'network', 'connect', 'major', 'hotel', 'convention', 'center', 'amp', 'airport', 'rainmaker1973', 'interesting', 'eye', 'ercxspace', 'nasaspaceflight', 'spacex', 'long', 'term', 'ship', 'would', 'land', 'tower', 'arm', 'like', 'booster', 'ercxspace', 'nasaspaceflight', 'spacex', 'unlikely', 'early', 'ship', 'splashdown', 'intact', 'get', 'orbit', 'first', 'try', 'would', 'major', 'win', 'billym2k', 'wholemarsblog', 'wholemarsblog', 'serious', 'allegation', 'deserve', 'serious', 'response']",2021-11-22,1156.87,1167.51,0.92%
121,"['thesheetztweetz', 'wholemarsblog', 'exactly', 'sigh', 'cz', 'binance', 'coindesk', 'binance', 'egreechee', 'sound', 'good', 'flcnhvy', 'wholemarsblog', 'it', 'simulate', 'anywhere', 'need', 'focus', 'one', 'region', 'fsd', 'beta', 'expand', 'geographically', 'betas', 'country', 'canada', 'lot', 'different', 'u', 'different', 'enough', 'wholemarsblog', 'high', 'performance', 'code', 'c', 'use', 'compiler', 'maximize', 'frame', 'rate', 'we', 'use', 'python', 'custom', 'library', 'fast', 'prototyping', 'convert', 'c', 'fast', 'execution', 'new', 'software', 'run', 'real', 'world', 'video', 'amp', 'world', 'simulator', 'evaluate', 'performance', 'qa', 'cz', 'binance', 'coindesk', 'binance', 'egreechee', 'i', 'use', 'binance', 'try', 'one', 'point', 'signup', 'many', 'hoop', 'jump', 'inconvenience', 'personally', 'just', 'raise', 'issue', 'behalf', 'doge', 'holder', 'wholemarsblog', 'our', 'nns', 'temporal', 'amp', 'spatial', 'memory', 'surround', 'video', 'auto', 'label', 'back', 'everything', 'knit', 'together', 'c', 'single', 'frame', 'manual', 'labeling', 'still', 'much', 'improve']",2021-11-23,1109.03,1080.39,-2.58%
122,"['just', 'drop', 'friend', 'pool', 'eightbitstories', 'humanity', 'shall', 'return', 'smartass505', 'zains180', 'vikingrocket', 'wholemarsblog', 'oh', 'man', 'year', 'supply', 'chain', 'nightmare', 'amp', 'i', 'provide', 'updated', 'product', 'roadmap', 'next', 'earnings', 'call', 'zains180', 'vikingrocket', 'wholemarsblog', 'cybertruck', 'reach', 'far', 'post', 'apocalyptic', 'future', 'amp', 'bring', 'technology', 'zains180', 'vikingrocket', 'wholemarsblog', 'cybertruck', 'intentionally', 'insane', 'technology', 'bandwagon', 'vikingrocket', 'wholemarsblog', 'variable', 'gain', 'steer', 'wire', 'yoke', 'would', 'ideal', 'wholemarsblog', 'acid', 'test', 'new', 'interface', 'use', '2', 'week', 'amp', 'see', 'still', 'want', 'old', 'version', 'after', 'use', 'yoke', 'week', 'i', 'want', 'wheel', 'wholemarsblog', 'yoke', 'allows', 'unobstructed', 'view', 'screen', 'trungtphan', 'a', 'lot', 'happen', '8', 'year', 'patrickc', 'ashleevance', 'paraga', 'usa', 'benefit', 'greatly', 'indian', 'talent', 'teslarati', 'residentsponge', 'it', 'still', 'intense', 'slightly', 'less', 'past']",2021-11-29,1136.99,1144.37,0.65%
123,"['dayquil', 'nyquil', 'http', 'co', 'aadssrmjyf', 'tesmanian', 'com', 'the', 'magnitude', 'starship', 'program', 'widely', 'appreciate', 'it', 'design', 'extend', 'life', 'mar', 'moon', 'require', '1000', 'time', 'payload', 'orbit', 'current', 'earth', 'rocket', 'combine', 'erdayastronaut', 'yes', 'tesmanian', 'com', 'if', 'severe', 'global', 'recession', 'dry', 'capital', 'availability', 'liquidity', 'spacex', 'lose', 'billion', 'starlink', 'amp', 'starship', 'bankruptcy', 'still', 'unlikely', 'impossible', 'gm', 'amp', 'chrysler', 'go', 'bk', 'last', 'recession', 'only', 'paranoid', 'survive', 'grove', 'micsolana', 'the', 'overarching', 'problem', 'need', 'good', 'mental', 'firewall', 'information', 'constantly', 'come', 'u', 'critical', 'amp', 'first', 'principle', 'think', 'required', 'course', 'middle', 'school', 'who', 'write', 'software', 'run', 'head', 'be', 'sure', 'actually', 'want', 'rubix161', 'thesheetztweetz', 'gerberkawasaki', 'it', 'get', 'fix', 'teslagong', 'gerberkawasaki', 'suit', 'need', 'make', 'high', 'volume', 'affordable', 'cost', 'amp', 'much', 'easy', 'use', 'gerberkawasaki', 'we', 'shift', 'starlink', 'satellite', 'orbit', 'reduce', 'probability', 'collision', 'not', 'great', 'terrible', 'either', 'station', 'amp', 'dragon', 'micrometeorite', 'shield', 'ultra', 'high', 'velocity', 'impact', 'absorption', 'eva', 'suit', 'hence', 'high', 'risk', 'spacewalk']",2021-11-30,1144.76,1160.7,1.39%
124,"['arstechnica', 'sciguyspace', 'starship', 'enable', 'quantum', 'leap', 'deep', 'space', 'amp', 'planetary', 'science', 'billym2k', 'exactly', 'https', 'co', 'ol2hnkngtx']",2021-12-01,1095.0,1099.06,0.37%
125,"['mkbhd', 'yikes', 'law', 'one', 'side', 'poets', 'billym2k']",2021-12-02,1084.6,1084.79,0.02%
